ITEM_SEQ,ITEM_NAME,PRINT,DRUG_SHAPE,COLOR,TYPE,LINE,TOKENIZED
201100381,엔쎄콕캡슐200mg,DWP200,장방형,하양 노랑,경질캡슐,없음,ㅇㅔㄴㅆㅔ*ㅋㅗㄱㅋㅐㅂㅅㅠㄹ200mg
201100383,신바로캡슐,GCSB,장방형,초록,경질캡슐,없음,ㅅㅣㄴㅂㅏ*ㄹㅗ*ㅋㅐㅂㅅㅠㄹ
201100380,크리콕스캡슐200밀리그램,SAMJIN200,장방형,하양,경질캡슐,없음,ㅋㅡ*ㄹㅣ*ㅋㅗㄱㅅㅡ*ㅋㅐㅂㅅㅠㄹ200ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100440,파비도엔필름코팅정 100mg/25mg/200mg,PD100,타원형,분홍,정제,없음,ㅍㅏ*ㅂㅣ*ㄷㅗ*ㅇㅔㄴㅍㅣㄹㄹㅡㅁㅋㅗ*ㅌㅣㅇㅈㅓㅇ 100mg/25mg/200mg
201100467,바로살탄정160밀리그램,VA 160,타원형,갈색,정제,-,ㅂㅏ*ㄹㅗ*ㅅㅏㄹㅌㅏㄴㅈㅓㅇ160ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100492,싱귤맥스속붕정4밀리그램,MO4,원형,하양,정제,없음,ㅅㅣㅇㄱㅠㄹㅁㅐㄱㅅㅡ*ㅅㅗㄱㅂㅜㅇㅈㅓㅇ4ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100488,동구라미부딘정100밀리그램,DC LM,장방형,주황,정제,없음,ㄷㅗㅇㄱㅜ*ㄹㅏ*ㅁㅣ*ㅂㅜ*ㄷㅣㄴㅈㅓㅇ100ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100500,니네틸정,RT,타원형,연두,정제,-,ㄴㅣ*ㄴㅔ*ㅌㅣㄹㅈㅓㅇ
201100491,싱귤로드속붕정4밀리그램,M4,원형,하양,정제,없음,ㅅㅣㅇㄱㅠㄹㄹㅗ*ㄷㅡ*ㅅㅗㄱㅂㅜㅇㅈㅓㅇ4ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100502,터논연질캡슐,TON,장방형,파랑 투명,연질캡슐,없음,ㅌㅓ*ㄴㅗㄴㅇㅕㄴㅈㅣㄹㅋㅐㅂㅅㅠㄹ
201100572,펜폴캡슐,CKDCKD100100,장방형,하양,경질캡슐,없음,ㅍㅔㄴㅍㅗㄹㅋㅐㅂㅅㅠㄹ
201100613,올모스정40밀리그램,AG 40,타원형,하양,정제,없음,ㅇㅗㄹㅁㅗ*ㅅㅡ*ㅈㅓㅇ40ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100611,올모스정10밀리그램,AG 10,원형,하양,정제,없음,ㅇㅗㄹㅁㅗ*ㅅㅡ*ㅈㅓㅇ10ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100616,오메르텍정40밀리그램,O40,타원형,하양,정제,없음,ㅇㅗ*ㅁㅔ*ㄹㅡ*ㅌㅔㄱㅈㅓㅇ40ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100615,오메르텍정20밀리그램,O20,원형,하양,정제,없음,ㅇㅗ*ㅁㅔ*ㄹㅡ*ㅌㅔㄱㅈㅓㅇ20ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100612,올모스정20밀리그램,AG 20,원형,하양,정제,없음,ㅇㅗㄹㅁㅗ*ㅅㅡ*ㅈㅓㅇ20ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100607,비타알부씨플러스정,IY VCP,장방형,갈색,정제,-,ㅂㅣ*ㅌㅏ*ㅇㅏㄹㅂㅜ*ㅆㅣ*ㅍㅡㄹㄹㅓ*ㅅㅡ*ㅈㅓㅇ
201100614,오메르텍플러스정,OP,원형,주황,정제,없음,ㅇㅗ*ㅁㅔ*ㄹㅡ*ㅌㅔㄱㅍㅡㄹㄹㅓ*ㅅㅡ*ㅈㅓㅇ
201100609,올레사탄플러스정,OLM,원형,주황,정제,없음,ㅇㅗㄹㄹㅔ*ㅅㅏ*ㅌㅏㄴㅍㅡㄹㄹㅓ*ㅅㅡ*ㅈㅓㅇ
201100608,올레사탄정20밀리그램,OLM,원형,하양,정제,없음,ㅇㅗㄹㄹㅔ*ㅅㅏ*ㅌㅏㄴㅈㅓㅇ20ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100610,올모스플러스정20/12.5밀리그램,AG 20+,원형,주황,정제,없음,ㅇㅗㄹㅁㅗ*ㅅㅡ*ㅍㅡㄹㄹㅓ*ㅅㅡ*ㅈㅓㅇ20/12.5ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100675,이르베탄플러스정,KD IP,타원형,분홍,정제,-,ㅇㅣ*ㄹㅡ*ㅂㅔ*ㅌㅏㄴㅍㅡㄹㄹㅓ*ㅅㅡ*ㅈㅓㅇ
201100749,프라닥사캡슐110밀리그램,R110,장방형,파랑,경질캡슐,없음,ㅍㅡ*ㄹㅏ*ㄷㅏㄱㅅㅏ*ㅋㅐㅂㅅㅠㄹ110ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100747,프라닥사캡슐150밀리그램,R150,장방형,하양 파랑,경질캡슐,없음,ㅍㅡ*ㄹㅏ*ㄷㅏㄱㅅㅏ*ㅋㅐㅂㅅㅠㄹ150ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100807,올메플러스정20/12.5밀리그램,OP,원형,주황,정제,없음,ㅇㅗㄹㅁㅔ*ㅍㅡㄹㄹㅓ*ㅅㅡ*ㅈㅓㅇ20/12.5ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100775,멀티플러스비타정,KPP MPV,장방형,빨강,정제,없음,ㅁㅓㄹㅌㅣ*ㅍㅡㄹㄹㅓ*ㅅㅡ*ㅂㅣ*ㅌㅏ*ㅈㅓㅇ
201100813,에이알비-에스정20밀리그램,SJ 20,원형,하양,정제,없음,ㅇㅔ*ㅇㅣ*ㅇㅏㄹㅂㅣ*-ㅇㅔ*ㅅㅡ*ㅈㅓㅇ20ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100809,올메르탄플러스정,O/H DWP,원형,주황,정제,없음,ㅇㅗㄹㅁㅔ*ㄹㅡ*ㅌㅏㄴㅍㅡㄹㄹㅓ*ㅅㅡ*ㅈㅓㅇ
201100801,올프레정20밀리그램,HN 20,원형,하양,정제,없음,ㅇㅗㄹㅍㅡ*ㄹㅔ*ㅈㅓㅇ20ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100800,올프레플러스정20/12.5밀리그램,OL+,원형,주황,정제,없음,ㅇㅗㄹㅍㅡ*ㄹㅔ*ㅍㅡㄹㄹㅓ*ㅅㅡ*ㅈㅓㅇ20/12.5ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100794,올멕정40밀리그램,O40,타원형,하양,정제,없음,ㅇㅗㄹㅁㅔㄱㅈㅓㅇ40ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100793,올멕정10밀리그램,O10,원형,하양,정제,없음,ㅇㅗㄹㅁㅔㄱㅈㅓㅇ10ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100798,올메론정20밀리그램,OM2,원형,하양,정제,없음,ㅇㅗㄹㅁㅔ*ㄹㅗㄴㅈㅓㅇ20ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100797,올메론플러스정20/12.5밀리그램,OLP,원형,주황,정제,없음,ㅇㅗㄹㅁㅔ*ㄹㅗㄴㅍㅡㄹㄹㅓ*ㅅㅡ*ㅈㅓㅇ20/12.5ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100808,올메정20밀리그램,OM,원형,하양,정제,없음,ㅇㅗㄹㅁㅔ*ㅈㅓㅇ20ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100796,올드렌정20밀리그램,ODR,원형,하양,정제,없음,ㅇㅗㄹㄷㅡ*ㄹㅔㄴㅈㅓㅇ20ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100803,썬메텍정20밀리그램,KOS 20,원형,하양,정제,없음,ㅆㅓㄴㅁㅔ*ㅌㅔㄱㅈㅓㅇ20ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100802,올프레정10밀리그램,HN 10,원형,하양,정제,없음,ㅇㅗㄹㅍㅡ*ㄹㅔ*ㅈㅓㅇ10ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100811,올메르탄정10밀리그램,O10 DWP,원형,하양,정제,없음,ㅇㅗㄹㅁㅔ*ㄹㅡ*ㅌㅏㄴㅈㅓㅇ10ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100792,올멕플러스정20/12.5밀리그램,OC,원형,주황,정제,없음,ㅇㅗㄹㅁㅔㄱㅍㅡㄹㄹㅓ*ㅅㅡ*ㅈㅓㅇ20/12.5ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100812,에이알비-에스디정,SJ 20P,원형,주황,정제,없음,ㅇㅔ*ㅇㅣ*ㅇㅏㄹㅂㅣ*-ㅇㅔ*ㅅㅡ*ㄷㅣ*ㅈㅓㅇ
201100810,올메르탄정20밀리그램,O20 DWP,원형,하양,정제,없음,ㅇㅗㄹㅁㅔ*ㄹㅡ*ㅌㅏㄴㅈㅓㅇ20ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100799,올메론정10밀리그램,OM1,원형,하양,정제,없음,ㅇㅗㄹㅁㅔ*ㄹㅗㄴㅈㅓㅇ10ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100795,올멕정20밀리그램,O20,원형,하양,정제,없음,ㅇㅗㄹㅁㅔㄱㅈㅓㅇ20ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100814,에이알비-에스정10밀리그램,SJ 10,원형,하양,정제,없음,ㅇㅔ*ㅇㅣ*ㅇㅏㄹㅂㅣ*-ㅇㅔ*ㅅㅡ*ㅈㅓㅇ10ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100823,제메텍정10밀리그램,G10 D-W,원형,하양,정제,없음,ㅈㅔ*ㅁㅔ*ㅌㅔㄱㅈㅓㅇ10ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100828,벨메텍정20밀리그램,BT20 CKD,원형,하양,정제,없음,ㅂㅔㄹㅁㅔ*ㅌㅔㄱㅈㅓㅇ20ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100869,올스텍정20밀리그램,OM 20,원형,하양,정제,없음,ㅇㅗㄹㅅㅡ*ㅌㅔㄱㅈㅓㅇ20ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100868,오메탄정40밀리그램,JY 4,타원형,하양,정제,없음,ㅇㅗ*ㅁㅔ*ㅌㅏㄴㅈㅓㅇ40ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100872,올메탑정20밀리그램,BCWP C14,원형,하양,정제,없음,ㅇㅗㄹㅁㅔ*ㅌㅏㅂㅈㅓㅇ20ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100830,올사텐정20밀리그램,020KJ,원형,하양,정제,-,ㅇㅗㄹㅅㅏ*ㅌㅔㄴㅈㅓㅇ20ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100829,벨메텍정40밀리그램,BT40 CKD,타원형,하양,정제,없음,ㅂㅔㄹㅁㅔ*ㅌㅔㄱㅈㅓㅇ40ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100870,오메조탄정20밀리그램,DC OL,원형,하양,정제,없음,ㅇㅗ*ㅁㅔ*ㅈㅗ*ㅌㅏㄴㅈㅓㅇ20ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100867,오메탄정10밀리그램,JY 1,원형,하양,정제,없음,ㅇㅗ*ㅁㅔ*ㅌㅏㄴㅈㅓㅇ10ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100819,바이올플러스정,OH,원형,주황,정제,없음,ㅂㅏ*ㅇㅣ*ㅇㅗㄹㅍㅡㄹㄹㅓ*ㅅㅡ*ㅈㅓㅇ
201100822,제메텍플러스정,GMP D-W,원형,주황,정제,없음,ㅈㅔ*ㅁㅔ*ㅌㅔㄱㅍㅡㄹㄹㅓ*ㅅㅡ*ㅈㅓㅇ
201100821,바이올정20밀리그램,O20,원형,하양,정제,없음,ㅂㅏ*ㅇㅣ*ㅇㅗㄹㅈㅓㅇ20ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100871,올메탑플러스정20/12.5밀리그램,BCWP C22,원형,주황,정제,없음,ㅇㅗㄹㅁㅔ*ㅌㅏㅂㅍㅡㄹㄹㅓ*ㅅㅡ*ㅈㅓㅇ20/12.5ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100826,벨메텍플러스정20/12.5밀리그램,BT22 CKD,원형,주황,정제,없음,ㅂㅔㄹㅁㅔ*ㅌㅔㄱㅍㅡㄹㄹㅓ*ㅅㅡ*ㅈㅓㅇ20/12.5ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100866,오메탄정20밀리그램,JY 2,원형,하양,정제,없음,ㅇㅗ*ㅁㅔ*ㅌㅏㄴㅈㅓㅇ20ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100827,벨메텍정10밀리그램,BT10 CKD,원형,하양,정제,없음,ㅂㅔㄹㅁㅔ*ㅌㅔㄱㅈㅓㅇ10ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100831,올텐정20밀리그램,PHK 20,원형,하양,정제,없음,ㅇㅗㄹㅌㅔㄴㅈㅓㅇ20ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100824,제메텍정40밀리그램,G40 D-W,타원형,하양,정제,없음,ㅈㅔ*ㅁㅔ*ㅌㅔㄱㅈㅓㅇ40ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100825,제메텍정20밀리그램,G20 D-W,원형,하양,정제,없음,ㅈㅔ*ㅁㅔ*ㅌㅔㄱㅈㅓㅇ20ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100879,칸살탄플러스정16/12.5mg,CY YJP,장방형,분홍,정제,-,ㅋㅏㄴㅅㅏㄹㅌㅏㄴㅍㅡㄹㄹㅓ*ㅅㅡ*ㅈㅓㅇ16/12.5mg
201100888,올스텍플러스정20/12.5밀리그램,OP,원형,주황,정제,없음,ㅇㅗㄹㅅㅡ*ㅌㅔㄱㅍㅡㄹㄹㅓ*ㅅㅡ*ㅈㅓㅇ20/12.5ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100889,오메탄플러스정20/12.5밀리그램,JY OMP,원형,주황,정제,없음,ㅇㅗ*ㅁㅔ*ㅌㅏㄴㅍㅡㄹㄹㅓ*ㅅㅡ*ㅈㅓㅇ20/12.5ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100905,올탄정20밀리그램,OT UNIMED,원형,하양,정제,-,ㅇㅗㄹㅌㅏㄴㅈㅓㅇ20ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100917,위메탄정20밀리그램,2,원형,하양,정제,-,ㅇㅟ*ㅁㅔ*ㅌㅏㄴㅈㅓㅇ20ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100897,오사탄플러스정20/12.5밀리그램,WK C2,원형,주황,정제,없음,ㅇㅗ*ㅅㅏ*ㅌㅏㄴㅍㅡㄹㄹㅓ*ㅅㅡ*ㅈㅓㅇ20/12.5ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100902,올메잘탄정20밀리그램,IHPOS,원형,하양,정제,없음,ㅇㅗㄹㅁㅔ*ㅈㅏㄹㅌㅏㄴㅈㅓㅇ20ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100887,올위너플러스정,W+,원형,주황,정제,없음,ㅇㅗㄹㅇㅟ*ㄴㅓ*ㅍㅡㄹㄹㅓ*ㅅㅡ*ㅈㅓㅇ
201100893,올고탄플러스정20/12.5밀리그램,IYM,원형,주황,정제,없음,ㅇㅗㄹㄱㅗ*ㅌㅏㄴㅍㅡㄹㄹㅓ*ㅅㅡ*ㅈㅓㅇ20/12.5ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100909,올메산정20밀리그램,MM OS2,원형,하양,정제,없음,ㅇㅗㄹㅁㅔ*ㅅㅏㄴㅈㅓㅇ20ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100918,올살탄정20밀리그램,SCD O20,원형,하양,정제,없음,ㅇㅗㄹㅅㅏㄹㅌㅏㄴㅈㅓㅇ20ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100908,한국콜마올메사탄정20밀리그램,KK 20,원형,하양,정제,없음,ㅎㅏㄴㄱㅜㄱㅋㅗㄹㅁㅏ*ㅇㅗㄹㅁㅔ*ㅅㅏ*ㅌㅏㄴㅈㅓㅇ20ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100894,올메히드플러스정20/12.5밀리그램,hw 82,원형,주황,정제,없음,ㅇㅗㄹㅁㅔ*ㅎㅣ*ㄷㅡ*ㅍㅡㄹㄹㅓ*ㅅㅡ*ㅈㅓㅇ20/12.5ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100900,올메딘정20밀리그램,O20 DS,원형,하양,정제,없음,ㅇㅗㄹㅁㅔ*ㄷㅣㄴㅈㅓㅇ20ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100892,제이메텍플러스정20/12.5밀리그램,JR JM,원형,주황,정제,없음,ㅈㅔ*ㅇㅣ*ㅁㅔ*ㅌㅔㄱㅍㅡㄹㄹㅓ*ㅅㅡ*ㅈㅓㅇ20/12.5ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100896,휴메텍정20밀리그램,HT C14,원형,하양,정제,없음,ㅎㅠ*ㅁㅔ*ㅌㅔㄱㅈㅓㅇ20ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100906,올메살탄정20밀리그램,C20 YP,원형,하양,정제,없음,ㅇㅗㄹㅁㅔ*ㅅㅏㄹㅌㅏㄴㅈㅓㅇ20ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100898,이텍스올메사탄정20밀리그램,ETX 20,원형,하양,정제,없음,ㅇㅣ*ㅌㅔㄱㅅㅡ*ㅇㅗㄹㅁㅔ*ㅅㅏ*ㅌㅏㄴㅈㅓㅇ20ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100904,올탄플러스정20/12.5밀리그램,OLP UNIMED,원형,주황,정제,없음,ㅇㅗㄹㅌㅏㄴㅍㅡㄹㄹㅓ*ㅅㅡ*ㅈㅓㅇ20/12.5ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100890,올사텐플러스정20/12.5밀리그램,KJO,원형,주황,정제,없음,ㅇㅗㄹㅅㅏ*ㅌㅔㄴㅍㅡㄹㄹㅓ*ㅅㅡ*ㅈㅓㅇ20/12.5ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100901,올위너정20밀리그램,,원형,하양,정제,없음,ㅇㅗㄹㅇㅟ*ㄴㅓ*ㅈㅓㅇ20ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100891,올텐플러스정20/12.5밀리그램,PHK A,원형,주황,정제,없음,ㅇㅗㄹㅌㅔㄴㅍㅡㄹㄹㅓ*ㅅㅡ*ㅈㅓㅇ20/12.5ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100911,올메잘탄플러스정,IH OH+,원형,주황,정제,없음,ㅇㅗㄹㅁㅔ*ㅈㅏㄹㅌㅏㄴㅍㅡㄹㄹㅓ*ㅅㅡ*ㅈㅓㅇ
201100913,올메딜정20밀리그램,MK OL,원형,하양,정제,없음,ㅇㅗㄹㅁㅔ*ㄷㅣㄹㅈㅓㅇ20ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100899,대한올메사탄정20밀리그램,DH OM2,원형,하양,정제,없음,ㄷㅐ*ㅎㅏㄴㅇㅗㄹㅁㅔ*ㅅㅏ*ㅌㅏㄴㅈㅓㅇ20ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100953,올레텐정20밀리그램,UT OM20,원형,하양,정제,없음,ㅇㅗㄹㄹㅔ*ㅌㅔㄴㅈㅓㅇ20ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100952,올레텐정10밀리그램,UT OM10,원형,하양,정제,없음,ㅇㅗㄹㄹㅔ*ㅌㅔㄴㅈㅓㅇ10ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100979,프리살탄플러스정20/12.5밀리그램,25 F,원형,주황,정제,없음,ㅍㅡ*ㄹㅣ*ㅅㅏㄹㅌㅏㄴㅍㅡㄹㄹㅓ*ㅅㅡ*ㅈㅓㅇ20/12.5ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100980,프리살탄정20밀리그램,20 F,원형,하양,정제,없음,ㅍㅡ*ㄹㅣ*ㅅㅏㄹㅌㅏㄴㅈㅓㅇ20ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100943,올베카정20밀리그램,YI 75,원형,하양,정제,없음,ㅇㅗㄹㅂㅔ*ㅋㅏ*ㅈㅓㅇ20ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100949,오사탄정20밀리그램,WK C1,원형,하양,정제,없음,ㅇㅗ*ㅅㅏ*ㅌㅏㄴㅈㅓㅇ20ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100973,올살텍정20밀리그램,K/D O20,원형,하양,정제,없음,ㅇㅗㄹㅅㅏㄹㅌㅔㄱㅈㅓㅇ20ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100948,올코탄정10밀리그램,KLO,원형,하양,정제,없음,ㅇㅗㄹㅋㅗ*ㅌㅏㄴㅈㅓㅇ10ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100983,올메세틸엠정20밀리그램,O20 JI,원형,하양,정제,없음,ㅇㅗㄹㅁㅔ*ㅅㅔ*ㅌㅣㄹㅇㅔㅁㅈㅓㅇ20ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100986,올사탄정20밀리그램,OS20,원형,하양,정제,없음,ㅇㅗㄹㅅㅏ*ㅌㅏㄴㅈㅓㅇ20ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100974,올데사르플러스정20/12.5밀리그램,OLP,원형,분홍,정제,없음,ㅇㅗㄹㄷㅔ*ㅅㅏ*ㄹㅡ*ㅍㅡㄹㄹㅓ*ㅅㅡ*ㅈㅓㅇ20/12.5ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100971,올산정20밀리그램,DPC C14,원형,하양,정제,-,ㅇㅗㄹㅅㅏㄴㅈㅓㅇ20ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
201100977,유메텍정20밀리그램,KG U2,원형,하양,정제,없음,ㅇㅠ*ㅁㅔ*ㅌㅔㄱㅈㅓㅇ20ㅁㅣㄹㄹㅣ*ㄱㅡ*ㄹㅐㅁ
